x,r,u,p,e
0.315234, 0.833256, 0.211743, 0.774784, 2.32457
0.316016, 0.831028, 0.214794, 0.771888, 2.32209
0.316797, 0.828801, 0.217849, 0.768996, 2.31961
0.317578, 0.826575, 0.220909, 0.76611, 2.31712
0.318359, 0.824351, 0.223974, 0.763228, 2.31463
0.319141, 0.822128, 0.227043, 0.760351, 2.31214
0.319922, 0.819906, 0.230117, 0.757479, 2.30965
0.320703, 0.817687, 0.233196, 0.754613, 2.30716
0.321484, 0.815469, 0.236278, 0.751752, 2.30466
0.322266, 0.813253, 0.239365, 0.748896, 2.30216
0.323047, 0.811039, 0.242456, 0.746047, 2.29966
0.323828, 0.808827, 0.24555, 0.743202, 2.29716
0.324609, 0.806617, 0.248648, 0.740364, 2.29466
0.325391, 0.804409, 0.25175, 0.737532, 2.29215
0.326172, 0.802204, 0.254856, 0.734705, 2.28965
0.326953, 0.8, 0.257965, 0.731885, 2.28714
0.327734, 0.7978, 0.261078, 0.729071, 2.28463
0.328516, 0.795602, 0.264194, 0.726263, 2.28212
0.329297, 0.793406, 0.267313, 0.723462, 2.27961
0.330078, 0.791213, 0.270435, 0.720667, 2.27709
0.330859, 0.789023, 0.27356, 0.717879, 2.27458
0.331641, 0.786836, 0.276689, 0.715097, 2.27207
0.332422, 0.784651, 0.27982, 0.712322, 2.26955
0.333203, 0.782469, 0.282954, 0.709553, 2.26703
0.333984, 0.780291, 0.286091, 0.706792, 2.26451
0.334766, 0.778115, 0.28923, 0.704037, 2.262
0.335547, 0.775942, 0.292373, 0.701289, 2.25948
0.336328, 0.773772, 0.295517, 0.698548, 2.25696
0.337109, 0.771606, 0.298665, 0.695814, 2.25444
0.337891, 0.769442, 0.301814, 0.693088, 2.25192
0.338672, 0.767282, 0.304967, 0.690368, 2.24939
0.339453, 0.765125, 0.308121, 0.687655, 2.24687
0.340234, 0.762971, 0.311278, 0.68495, 2.24435
0.341016, 0.760821, 0.314437, 0.682252, 2.24183
0.341797, 0.758674, 0.317599, 0.679561, 2.2393
0.342578, 0.75653, 0.320762, 0.676877, 2.23678
0.343359, 0.75439, 0.323928, 0.674201, 2.23426
0.344141, 0.752254, 0.327095, 0.671532, 2.23173
0.344922, 0.75012, 0.330265, 0.66887, 2.22921
0.345703, 0.747991, 0.333436, 0.666216, 2.22668
0.346484, 0.745865, 0.33661, 0.663569, 2.22416
0.347266, 0.743742, 0.339785, 0.66093, 2.22164
0.348047, 0.741623, 0.342962, 0.658298, 2.21911
0.348828, 0.739508, 0.346141, 0.655674, 2.21659
0.349609, 0.737396, 0.349322, 0.653057, 2.21406
0.350391, 0.735289, 0.352505, 0.650448, 2.21154
0.351172, 0.733184, 0.355689, 0.647846, 2.20902
0.351953, 0.731084, 0.358875, 0.645252, 2.20649
0.352734, 0.728987, 0.362062, 0.642666, 2.20397
0.353516, 0.726894, 0.365251, 0.640087, 2.20144
0.354297, 0.724805, 0.368442, 0.637516, 2.19892
0.355078, 0.72272, 0.371634, 0.634952, 2.1964
0.355859, 0.720638, 0.374827, 0.632396, 2.19388
0.356641, 0.718561, 0.378022, 0.629848, 2.19135
0.357422, 0.716487, 0.381219, 0.627308, 2.18883
0.358203, 0.714417, 0.384417, 0.624775, 2.18631
0.358984, 0.712351, 0.387616, 0.62225, 2.18379
0.359766, 0.710289, 0.390816, 0.619732, 2.18127
0.360547, 0.708231, 0.394018, 0.617222, 2.17875
0.361328, 0.706177, 0.397222, 0.61472, 2.17623
0.362109, 0.704127, 0.400426, 0.612226, 2.17371
0.362891, 0.702081, 0.403632, 0.609739, 2.17119
0.363672, 0.700038, 0.406839, 0.607261, 2.16867
0.364453, 0.698, 0.410047, 0.604789, 2.16615
0.365234, 0.695966, 0.413256, 0.602326, 2.16363
0.366016, 0.693936, 0.416467, 0.59987, 2.16112
0.366797, 0.69191, 0.419678, 0.597422, 2.1586
0.367578, 0.689888, 0.422891, 0.594982, 2.15608
0.368359, 0.68787, 0.426105, 0.592549, 2.15357
0.369141, 0.685855, 0.42932, 0.590125, 2.15105
0.369922, 0.683846, 0.432536, 0.587708, 2.14854
0.370703, 0.68184, 0.435753, 0.585298, 2.14603
0.371484, 0.679838, 0.438971, 0.582897, 2.14351
0.372266, 0.67784, 0.44219, 0.580503, 2.141
0.373047, 0.675847, 0.44541, 0.578117, 2.13849
0.373828, 0.673857, 0.448631, 0.575738, 2.13598
0.374609, 0.671872, 0.451853, 0.573367, 2.13347
0.375391, 0.66989, 0.455075, 0.571004, 2.13096
0.376172, 0.667913, 0.458299, 0.568649, 2.12845
0.376953, 0.66594, 0.461524, 0.566301, 2.12595
0.377734, 0.663971, 0.464749, 0.563961, 2.12344
0.378516, 0.662007, 0.467976, 0.561629, 2.12093
0.379297, 0.660046, 0.471203, 0.559304, 2.11843
0.380078, 0.65809, 0.474431, 0.556987, 2.11592
0.380859, 0.656137, 0.47766, 0.554678, 2.11342
0.381641, 0.654189, 0.480889, 0.552376, 2.11092
0.382422, 0.652245, 0.48412, 0.550082, 2.10842
